nome,endereco,telefone
Companhia das Letras,"Rua da Consolação, 269, Cerqueira César, São Paulo - SP, 01423-002 - Brasil",(11) 3255-4400
Editora Rocco,"Rua General Jardim, 588, Vila Madalena, São Paulo - SP, 01411-000 - Brasil",(11) 3875-2600
Editora Arqueiro,"Rua Dr. José Augusto, 231, Vila Leopoldina, São Paulo - SP, 01455-000 - Brasil",(11) 3034-4444
Editora Intrínseca,"Rua Visconde de Pirajá, 517, Vila Madalena, São Paulo - SP, 01419-900 - Brasil",(11) 3868-6600
Editora Sextante,"Rua Voluntários da Pátria, 45, Botafogo, Rio de Janeiro - RJ, 22270-001 - Brasil",(21) 2277-8877
Editora Record,"Rua da Candelária, 6, Centro, Rio de Janeiro - RJ, 20090-000 - Brasil",(21) 2232-9222
Editora Nova Fronteira,"Rua Benjamin Constant, 98, Botafogo, Rio de Janeiro - RJ, 22270-010 - Brasil",(21) 2545-0100
Editora Objetiva,"Rua Rodrigues Argelos, 41, Ipanema, Rio de Janeiro - RJ, 22420-090 - Brasil",(21) 2529-5777
Editora Globo,"Rua Padre João Manoel, 1001, Barra da Tijuca, Rio de Janeiro - RJ, 22793-030 - Brasil",(21) 4002-8000
Editora Leya,"Rua Benjamin Constant, 98, Botafogo, Rio de Janeiro - RJ, 22270-010 - Brasil",(21) 2545-0100
